YYYY MM DD hh mm WS_mean_10_mean Rad_mean 
    Height 10 0 
    Units m/s W/m2 
2011 02 13 09 55 1.7830E+00 2.4674E+01 
2011 02 13 10 05 1.4680E+00 3.4518E+01 
2011 02 13 10 15 2.1767E+00 5.4206E+01 
2011 02 13 10 25 2.1767E+00 4.4362E+01 
2011 02 13 10 35 1.6255E+00 3.4518E+01 
2011 02 13 10 45 1.3892E+00 2.4674E+01 
2011 02 13 10 55 9.9550E-01 2.4674E+01 
2011 02 13 11 05 1.5467E+00 2.9596E+01 
2011 02 13 11 15 1.1530E+00 2.4674E+01 
2011 02 13 11 25 1.3104E+00 2.9596E+01 
2011 02 13 11 35 1.3104E+00 2.9596E+01 
2011 02 13 11 45 3.7517E+00 7.3894E+01 
2011 02 13 11 55 3.6730E+00 6.8972E+01 
2011 02 13 12 05 3.6730E+00 8.8660E+01 
2011 02 13 12 15 2.8067E+00 6.8972E+01 
2011 02 13 12 25 2.1767E+00 7.3894E+01 
2011 02 13 12 35 1.5467E+00 4.9284E+01 
2011 02 13 12 45 2.2555E+00 3.9440E+01 
2011 02 13 12 55 1.7042E+00 6.8972E+01 
2011 02 13 13 05 1.4680E+00 1.5265E+02 
2011 02 13 13 15 1.5467E+00 8.8660E+01 
2011 02 13 13 25 1.7042E+00 6.8972E+01 
2011 02 13 13 35 1.6255E+00 6.4050E+01 
2011 02 13 13 45 1.9405E+00 4.9284E+01 
2011 02 13 13 55 2.2555E+00 2.9596E+01 
2011 02 13 14 05 2.3342E+00 9.9080E+00 
2011 02 13 14 15 1.8617E+00 2.4674E+01 
2011 02 13 14 25 1.9405E+00 1.4830E+01 
2011 02 13 14 35 1.7830E+00 2.9596E+01 
2011 02 13 14 45 1.7830E+00 1.4830E+01 
2011 02 13 14 55 1.4680E+00 2.4674E+01 
2011 02 13 15 05 1.1530E+00 9.9080E+00 
2011 02 13 15 15 9.9550E-01 4.9860E+00 
2011 02 13 15 25 1.6255E+00 4.9860E+00 
2011 02 13 15 35 6.3505E+00 9.9080E+00 
2011 02 13 15 45 5.8780E+00 9.9080E+00 
2011 02 13 15 55 4.4605E+00 4.9860E+00 
2011 02 13 16 05 4.0667E+00 4.9860E+00 
2011 02 13 16 15 5.8780E+00 6.4000E-02 
2011 02 13 16 25 5.0905E+00 6.4000E-02 
2011 02 13 16 35 5.8780E+00 6.4000E-02 
2011 02 13 16 45 4.6967E+00 6.4000E-02 
2011 02 13 16 55 5.6417E+00 6.4000E-02 
2011 02 13 17 05 5.0905E+00 -4.8580E+00 
2011 02 13 17 15 4.5392E+00 -9.7800E+00 
2011 02 13 17 25 4.5392E+00 -4.8580E+00 
2011 02 13 17 35 3.7517E+00 -4.8580E+00 
2011 02 13 17 45 4.3030E+00 -4.8580E+00 
2011 02 13 17 55 5.0905E+00 -9.7800E+00 
2011 02 13 18 05 3.9880E+00 -1.4702E+01 
2011 02 13 18 15 3.6730E+00 -9.7800E+00 
2011 02 13 18 25 3.6730E+00 -9.7800E+00 
2011 02 13 18 35 3.8305E+00 -4.8580E+00 
2011 02 13 18 45 3.5942E+00 -9.7800E+00 
2011 02 13 18 55 4.3817E+00 -9.7800E+00 
2011 02 13 19 05 4.3817E+00 -9.7800E+00 
2011 02 13 19 15 3.9880E+00 -4.8580E+00 
2011 02 13 19 25 4.2242E+00 -4.8580E+00 
2011 02 13 19 35 4.0667E+00 -4.8580E+00 
2011 02 13 19 45 4.0667E+00 -9.7800E+00 
2011 02 13 19 55 3.5942E+00 -9.7800E+00 
2011 02 13 20 05 3.9092E+00 -9.7800E+00 
2011 02 13 20 15 3.3580E+00 -9.7800E+00 
2011 02 13 20 25 2.8067E+00 -9.7800E+00 
2011 02 13 20 35 3.3580E+00 6.4000E-02 
2011 02 13 20 45 3.2005E+00 -4.8580E+00 
2011 02 13 20 55 3.9880E+00 -4.8580E+00 
2011 02 13 21 05 4.1455E+00 -4.8580E+00 
2011 02 13 21 15 3.7517E+00 -4.8580E+00 
2011 02 13 21 25 3.5155E+00 -4.8580E+00 
2011 02 13 21 35 3.6730E+00 -4.8580E+00 
2011 02 13 21 45 2.9642E+00 -4.8580E+00 
2011 02 13 21 55 2.8067E+00 -1.4702E+01 
2011 02 13 22 05 1.9405E+00 -4.8580E+00 
2011 02 13 22 15 2.0980E+00 -4.8580E+00 
2011 02 13 22 25 2.4130E+00 -4.8580E+00 
2011 02 13 22 35 1.7042E+00 -9.7800E+00 
2011 02 13 22 45 2.0192E+00 -4.8580E+00 
2011 02 13 22 55 1.8617E+00 -4.8580E+00 
2011 02 13 23 05 1.0742E+00 -9.7800E+00 
2011 02 13 23 15 1.7042E+00 -4.8580E+00 
2011 02 13 23 25 9.9550E-01 -4.8580E+00 
2011 02 13 23 35 1.3892E+00 -4.8580E+00 
2011 02 13 23 45 1.8617E+00 -4.8580E+00 
2011 02 13 23 55 2.0192E+00 -4.8580E+00 
2011 02 14 00 05 1.8617E+00 -4.8580E+00 
2011 02 14 00 15 1.7042E+00 -4.8580E+00 
2011 02 14 00 25 1.3104E+00 -9.7800E+00 
2011 02 14 00 35 9.1670E-01 -9.7800E+00 
2011 02 14 00 45 9.1670E-01 -4.8580E+00 
2011 02 14 00 55 9.1670E-01 -4.8580E+00 
2011 02 14 01 05 9.9550E-01 -4.8580E+00 
2011 02 14 01 15 1.3104E+00 -4.8580E+00 
2011 02 14 01 25 1.8617E+00 6.4000E-02 
2011 02 14 01 35 1.7830E+00 6.4000E-02 
2011 02 14 01 45 1.9405E+00 -9.7800E+00 
2011 02 14 01 55 1.3104E+00 -4.8580E+00 
2011 02 14 02 05 1.7042E+00 6.4000E-02 
2011 02 14 02 15 3.3580E+00 -4.8580E+00 
2011 02 14 02 25 2.8855E+00 -4.8580E+00 
2011 02 14 02 35 2.8855E+00 -4.8580E+00 
2011 02 14 02 45 2.6492E+00 -4.8580E+00 
2011 02 14 02 55 2.7280E+00 -4.8580E+00 
2011 02 14 03 05 2.8067E+00 -4.8580E+00 
2011 02 14 03 15 2.2555E+00 -4.8580E+00 
2011 02 14 03 25 1.9405E+00 -4.8580E+00 
2011 02 14 03 35 1.6255E+00 -4.8580E+00 
2011 02 14 03 45 1.2317E+00 -4.8580E+00 
2011 02 14 03 55 1.3892E+00 -4.8580E+00 
2011 02 14 04 05 1.6255E+00 -4.8580E+00 
2011 02 14 04 15 2.1767E+00 -4.8580E+00 
2011 02 14 04 25 2.3342E+00 -9.7800E+00 
2011 02 14 04 35 2.8855E+00 -4.8580E+00 
2011 02 14 04 45 1.9405E+00 -4.8580E+00 
2011 02 14 04 55 1.8617E+00 -4.8580E+00 
2011 02 14 05 05 1.6255E+00 -4.8580E+00 
2011 02 14 05 15 1.7830E+00 -4.8580E+00 
2011 02 14 05 25 9.9550E-01 -4.8580E+00 
2011 02 14 05 35 9.9550E-01 -4.8580E+00 
